"botanical_id","species","author","synonyms","english_name","description","flowering_period","habit","distribution","uses"
"49","87","L.","","Bullock's Heart","A small tree, stem glabrous, young branches pubescent. Leaves with 1.2-1.5 cm long petiole, lamina 13.5-17.0 Ã— 2.5-4.5 cm, lanceolate to oblanceolate, base rounded to cuneate, apex acute to acuminate, glabrous above, sparsely hairy beneath, young leaves densely hairy on both surfaces. Inflorescence leaf-opposed or extra axillary, usually 2-3 flowered, occasionally branched. Bracts caducous, bracteoles deltoid, densely hairy, almost in the middle of pedicel. Pedicel 2.5-3.0 cm long, usually pendant. Sepals broadly deltoid, basally connate, pilose. Petals 6, arranged in 2 series, outer petals 17-19 Ã— 0.6-0.7 cm, ovate, triquetrous, obtuse, basally connate within, inner petals minute or absent. Stamens numerous, 1-2 mm long, linear, filaments half the length of anther, connective tip rounded. Carpels numerous, basally connate, ovary pilose, stigma elongated. Fruit 10-15 Ã— 7.5-12.5 cm, sub-globose to roughly heart-shaped, almost smooth, areoles separated by marked reticulation but tuberculate, reddish-brown when ripe, pulp white or cream, aromatic, granular, adhering closely to the seeds. Seeds smooth, black. ","October-January","Plain lands.","Throughout the country.","Ripe fruit is sweet and rich in minerals, fibre, p"
"50","89","L.","","Custard Apple, Sugar Apple, Sweetsop","A small tree, stem glabrous, young branches sparsely pubescent. Leaves petiolate, petiole 5-12 mm long, lamina 8-11 Ã— 3.0-4.5 cm, elliptic to oblong-obovate, obtuse to acute, glabrous, base cuneate to subrounded, young leaves sparsely hairy. Inflorescence terminal or leaf-opposed, on short axillary branches, 1-2 flowered. Bracts and bracteoles present, pilose. Pedicels 1.0-1.6 cm long, glabrous. Sepals 1-3 Ã— 3-4 mm, broadly deltoid, basally connate, pilose. Petals 2.0-2.7 Ã— 0.7-0.9 cm, oblong, pale yellow with deep purple spot inside at the base, triquetrous, basally concave within, inner petals absent. Receptacle conical. Stamens 1 mm long, narrow, cuneate, filaments short, locules equal, connective-tip subtruncate. Carpels basally connate, ovary dorsally pilose, style short, stigma narrow, conical. Fruit 5-10 Ã— 5.0-7.5 cm, yellowish-green, glaucous, tuberculate, pulp soft, smooth, pure white or yellow tinged. Seeds dark brown to black. ","March-December","Plain lands and also high lands.","Cultivated throughout the country.","Ripe fruits are sweet and eaten fresh. The pulp of"
"51","256","(Lamk.) Hook.f. & Thom.","Uvaria  odorata Lamk., Uvaria  axillaris Roxb.","","A tall aromatic tree, trunk straight, shoots glabrous, stem gland-dotted. Leaves with petiole 1.0-1.2 cm long, lamina 12.5-20.0 Ã— 5-8 cm, ovate-oblong, acuminate, margin waved, base 
Cananga odorata (Lamk.) Hook. f. & Thom.
rounded, puberulous on the veins beneath. Flowers usually 3-nate, drooping, yellow, odorous. Peduncle c 2 cm long, solitary or several from old scars, pedicels 1.5-1.7 cm long, recurved, hoary, with a few basal and a median scaly bract. Sepals 6-7 Ã— 4-5 mm. Petals 6, 4.0-4.5 cm long, subequal, narrowly linear, base broad, silky when young. Stamens many, c 2 mm long.  Ripe carpels about 12, 1.0-1.5 cm long, ovoid or obovoid, glabrous, long-stalked, black, 6-12 seeded. ","July-January","Favors moist valleys, up to an altitude of 800 m.","Cultivated in gardens.",""
"52","454","Lour.","Unona discolor Vahl","Dwarf Ylang-ylang","A scandent shrub, stem slender, pubescent.  Leaves petiolate, petiole  3-5 mm long, lamina 6-14 Ã— 3.0-6.5 cm, elliptic, cordate or truncate, abruptly acuminate, glabrous above, pale and pubescent beneath. Flowers 4.5-5.0 cm long, leaf-opposed or internodal, greenish-yellow, solitary, very fragrant.  Pedicel 1-4 cm long with a small linear bracteole below the middle, slender in flowers, thickening in fruits.  Sepals 4-12 mm long, ovate-lanceolate, acuminate. Petals 4-8 cm long, narrowly lanceolate, coriaceous. Fruitlets 2-3 cm long, numerous, up to 6-jointed, long stipitate, on stalks 3-5 mm long, 2-5 seeded. ","April-December","Hill forests.","Cox's Bazar and Chittagong districts and the Chitt","The decoction of fruit is used for dysentry and ve"
"53","455","(Roxb.) Safford","Unona longiflora Roxb.","","A slender, sparingly branched, glabrous shrub or small tree, buds golden-silky. Leaves with petiole 1-2 cm long, lamina 12-30 Ã— 2.5-10.0 cm, narrowly oblong or lanceolate, entire, acuminate, base rounded, pellucid dotted, chartaceous, shining above, glaucous beneath. Flowers axillary, red, elongated, silky when young, soon glabrous. Peduncle 2.5-10.0 cm long, elongating in fruits.  Bracts sub-basal, linear, minute, pubescent.  Sepals 3, rounded, mucronate, pubescent outside. Petals 2, 7.5-15.0 cm long, c 2 cm broad at the base, narrowly linear, taper-pointed, puberulous outside. Connective of stamens produced but truncate. Fruitlets 7-60, moniliform, joints 1-4, elongate-ellipsoid, verrucose. ","October-April","Hill forests.","Sylhet, Chittagong, Coxâ€™s Bazar districts, and the",""
"54","961","(DC.) G. Panigr. & Mishra","Guatteria globosa DC., Hyalostemma roxburghiana (W","","A large shrub or small tree, stem glabrous, young branches softly pubescent. Leaves petiolate, petiole 1-2 mm long, lamina 10-18 Ã— 3.5-6.0 cm, ovate-lanceolate or oblong-lanceolate, rounded or acute at the base, abruptly acuminate at the apex, thinly coriaceous, shiny above, glabrous except the puberulous midrib above, pubescent beneath, glabrous with age. Flowers bisexual or unisexual, solitary or 2-3 together, axillary, extra-axillary or leaf-opposed, drooping, red, pedicel 1.5-2.5 cm long, pubescent. Bracts 1-3, basal or a little above the base, linear-lanceolate, acuminate. Sepals 3, 3-6 Ã— 1 mm, linear-lanceolate, acuminate, reflexed, rusty tomentose outside. Petals 6 (3 +3), outer petals similar to the sepals, inner ones 10-15 Ã— 4-8 mm, ovate, saccate at the base, obtuse to subacute at the apex, cohering laterally up to middle when young, later free, blood red with dark veins, sparsely pubescent. Stamens many, c 1 mm long, connectives dome-shaped at the top, dark red. Carpels many, c 2 mm long, intermixed with hairs, ovate or oblong, stigma sessile, capitate. Ripe carpels 7-10 Ã— 10-18 mm, many, ovoid, sub-globose to oblong, slightly pubescent, stalks 10-15 mm long, slender. Seed usually 1, sometimes few, c 4 mm long, ovoid.","December-September","Hill forests.","Cox's Bazar, Chittagong, Sylhet districts, and the","Leaves are used as smelling salt in headache."
"55","962","(Hook.f. & Thom.) Finet & Gagnep.","Saccopetalum longiflorum Hook. f. & Thom.","","A tree, stem glabrous, branchlets puberulous. Leaves petiolate, petiole 5-7 mm long, lamina 18-20 Ã— 6.0-7.5 cm, ovate-oblong or oblong-lanceolate, thin, coriaceous, acuminate, glabrous above, pubescent beneath. Flowers solitary in the old axils. Peduncle 3-5 mm long, downy. Sepals and outer petals 5-7 mm long, oblong, inner petals 3.0-3.5 cm long, oblong-lanceolate, tapering to an 
obtuse point, thin, downy, base sub-saccate. Ripe carpels of berries, 2.5-3.5 cm in diameter, black, glabrous, stalk 1.2-1.5 cm long. ","July-September","Plain lands and also high lands.","Chittagong",""
"56","964","(Roxb.) J. Sinclair","Uvaria tomentosa Roxb., Saccopetalum tomentosum (R","","A tall tree, stem glabrous, leafy branches densely pubescent with grey, patent hairs. Leaves petiolate, petiole 4-6 mm long, shallowly grooved, not swollen, pubescent, lamina 5-17 Ã— 3.5-12.0 cm, obtuse, rounded or truncate at the base, shortly decurrent along petiole, obtuse, or short-acuminate at the apex, thinly pubescent on upper surface, more densely so on midrib and lateral veins, softly velutinous beneath. Inflorescence racemiform. Flowers several, yellowish-green. Bracts several, often foliaceous, pubescent on both sides. Pedicel 1.7-9.0 cm long, very slender. Sepals c 5 mm long, lanceolate, tomentose. Outer petals 6-7 mm long, lanceolate, tomentose, inner petals twice as long as the outer ones, 4-5 mm wide, tomentose, reddish inside at the base. Carpels tomentose, containing several ovules, stigma capitate. Ripe carpels about 20, 1.5-2.2 cm in diameter, violet, globose, pubescent, long stipitate, stalk up to 2.5 cm long. Seeds up to 1.5 Ã— 1.0 cm, greyish-brown. ","October-January","Hill forests.","Sylhet",""
"57","965","(Dunal) Hook.f. & Thom.","Uvaria velutina Dunal, Guatteria velutina (Dunal) ","","A deciduous tree, stem glabrous, young branches tomentose. Leaves petiolate, petiole 2-8 mm long, lamina 12-31 Ã— 6.5-16.0 cm, broadly elliptic-ovate to obovate, cordate, acute to acuminate, tomentose, young leaves with silky hairs. Inflorescence extra-axillary or terminal on short lateral branches, 3-6 flowered. Pedicel 3.0-8.5 cm long, tomentose. Bracts tomentose. Sepals 2-8 Ã— 1-4 mm, free, ovate, acute, densely golden tomentose outside. Outer petals 3-7 Ã— 2-3 mm, lanceolate, acute, inner petals 7-18 Ã— 6-10 mm, broadly ovate, subacute, both of them densely golden tomentose outside, receptacle convex, glabrous. Stamens 1 mm long, orbicular, connective tip membranous, locules equal, filaments short and thick, perpendicular to the anthers. Carpels 2-3 mm long, ovary densely woolly dorsally, stigma clavate. Monocarps 2.0 Ã— 1.6 cm, many, ovoid, pilose. Seeds 1-2, 5-8 mm long, stipe tomentose.","October-June","Deciduous forests","Dhaka, Gazipur, Tangail, Mymensingh and Sherpur.",""
"58","980","Hook.f. & Thom.","Mitrephora  vandaeflora Kurz","","A tree, stem glabrous, younger parts and branches tawny pubescent, bark dark-brown. Leaves on a short puberulous petiole, lamina 12-15 cm long, oblong or ovate-oblong to elliptical, rounded or acute at the base, acute or acuminate, chartaceous or almost coriaceous, either minutely puberulous on both sides or glossy above and
minutely puberulous along the nerves beneath. Flowers 2.5 cm in diameter, rather conspicuous, arising from reduced lateral much scared and thick peduncles, usually in pairs or several. Peduncles 2.5 cm long, upwards thickened, tawny tomentose. Pedicel furnished below the calyx with a half-stem-clasping rounded bract. Sepals rotundate, densely tawny pubescent. Outer petals 3, linear-oblong, waved, slightly tawny pubescent outside, yellow, reddish-striped, the inner ones connivent with the claws, short and broad, puberulous outside, tomentose along the borders, yellow, white and red-dotted at the tip. ","December-April","Hill forests.","Chittagong",""
"59","982","Hook.f. & Thom.","","","A small tree, stem glabrous, branches tomentose. Leaves petiolate, petiole 3-5 mm long, lamina 6-15 Ã— 3.5-7.5 cm, ovate or oblong-lanceolate, obtuse, acute or acuminate, glabrous and shining above except the hairy midrib, softly tomentose beneath, base rounded, finely reticulate beneath. Inflorescence of cymes, few-flowered, densely tomentose. Bracts basal, large, orbicular. Pedicel 5-10 mm long, bracteole submedian. Flowers shortly pedicelled, bisexual, leaf-opposed. Sepals broadly ovate, acute. Outer petals 2.3-2.5 cm long, acute, inner petals 3 Ã— 3 mm, broadly ovate, distinctly clawed. Stamens numerous, c 0.1 cm long, connectives flat at the top. Carpels 3, sub-globose, tomentose, long-stalked, stalk 2.5-3.5 cm long. ","December-April","Hill forests.","Chittagong",""
"60","1105","(Roxb.) Bedd.","Uvaria cerasoides Roxb.","","A small tree, stem glabrous, leafy branches densely pubescent with ascending hairs. Leaves petiolate, petiole 2-4 mm long, lamina 8-17 Ã— 2.5-6.0 cm, narrowly elliptic or ovate, cordate or truncate, obtuse to acuminate, glabrous above and soft-pubescent beneath. Inflorescence axillary. Flowers solitary and green. Peduncle 1.0-2.7 cm long, bracteate in its lower third. Bracts 2-5 mm long, glabrous above and white pubescent beneath. Sepals 3-4 Ã— 2-3 mm, triangular-ovate, densely pubescent beneath. Petals 4-8 mm long, ovate, inner petals slightly exceeding the outer ones. Stamens 1-2 mm long. Carpels numerous, densely pubescent, stigma clavate, shortly stipitate. Ripe carpels 5-7 mm long, numerous, roundish-ellipsoid, red, long stipitate, stalk 10-15 mm long, slender. Seed not separating from fruit wall. ","October-March","Hill forests.","Chittagong","Timber is used for carpentry and shipping purposes"
"61","1106","(Hook.f. & Thom.) Hook.f. & Thom.","Guatteria jenkensii Hook. f. & Thom.","","A spreading tree, branches glabrous. Leaves petiolate, petiole 5-7 mm long, lamina 10.0-17.5 Ã— 3.5-6.0 cm, oblong, obovate, elliptic or lanceolate, base rounded, rarely suddenly cuneate, acuminate, shining above, pale beneath, pubescent along the nerves and midrib. Flowers 2.5-3.5 cm long, yellowish-green. Pedicels 1.2-3.5 cm long, erect.  Bracts 2-3, scaly, median and an apical one oval and deciduous. Sepals 2-3 mm long, bluntly ovate, recurved, pubescent outside. Petals 2.5-3.0 cm long, linear-lanceolate, thinly coriaceous, inner ones shorter and narrower. Ripe carpels 10, 3.0-3.5 cm long, obovoid, glabrous, turning orange-red to blue-black in ripening, gradually narrowed to a stalk 2.5-5.0 cm long. Seed ovoid, grooved and transversely ribbed. ","August-June.","Hill forests.","Sylhet","Wood is used for making house pole."
"62","1107","(Sonn.) Thw.","Uvaria longifolia Sonn., Unona longifolia (Sonn.) ","Mast Tree","An elegant tall tree, stem with dense leafy branches, young branches puberulous, soon glabrate. Leaves petiolate, petiole 5-8 mm long, lamina 14-22 Ã— 3-6 cm, ovate-oblong or ovate-lanceolate, cuneate to cordate, strongly undulate, acuminate. Inflorescence short-peduncled or sessile raceme or umbel-like, flowers mostly numerous in axil. Pedicel 2-4 cm long, usually bracteate in the middle. Bracts c 1 mm long, tomentose. Sepals 1.5-1.8 mm long, triangular-ovate, tomentose outside. Outer petals 8-9 Ã— 2-3 mm, narrowly lanceolate, acuminate, inner petals 10-12  Ã— 2-3 mm. Stamens 0.8 mm long. Carpels tomentose at the apex, stigma sessile. Ripe carpels 4-8, 2.0-2.5 Ã— 1.0-1.5 cm, purple, glabrous, stipitate, stalk 1.0-1.2 cm long. Seed 1.5-2.0 Ã— 1.0-1.4 cm, solitary, pinkish or yellowish-white, readily separating from fruit wall. 
","March-October","Plain lands.","Cultivated throughout the country.","Planted along roadsides as an avenue tree and as a"
"63","1108","Hook.f. & Thom.","","","A small tree, stem glabrous, branches twigy, slender, young parts puberulous. Leaves petiolate, petiole 10-12 mm long, lamina 10-15 Ã— 2.5-3.5 cm, linear to oblong-lanceolate, obtusely acuminate, base obliquely cordate, shining and glabrous on both surfaces, paler beneath. Peduncle 0.5-2.5 cm long. Bracts submedian. Flowers 10-12 mm across, axillary. Sepals orbicular. Petals 5-6 mm long, oblong, obtuse, subequal, thickly coriaceous, silky outside. Carpels filiform, dark brown, stalk 10-12 mm long.","April-September.","Hill forests.","Chittagong",""
"64","1109","(Hook.f. & Thom.) Hook.f. & Thom.","Guatteria simiarum  Hook. f. & Thom.","","A tree, stem and branches glabrous. Leaves with petiole 5-7 mm long, lamina 10-22 Ã— 5.0-12.5 cm, ovate-oblong or oblong-lanceolate, acuminate, shining above, pale beneath, membranous, pubescent along the nerves and midrib. Inflorescence in fascicles, on the old axils or on woody tubercles. Flowers 2.5-3.5 cm long, yellowish-green, spreading. Pedicels 1.2-3.5 cm long, naked above, slender. Bracts 1 or 2, scaly, basal. Sepals 2-3 mm long, bluntly ovate, recurved, pubescent outside. Outer petals 1.5-1.7 cm long, linear, puberulous, glabrous within, inner ones 2.5-2.7 cm long. Ripe carpels 10, 3.0-3.5 cm long, obovoid, glabrous, turning orange-red to blue-black in ripening, gradually narrowed to a stalk 2.5-5.0 cm long. Seed 2.5-2.7 Ã— 1.3-1.4 cm, ovoid, grooved and transversely ribbed. ","May-September","Hill forests.","Cox's Bazar and Chittagong districts and the Chitt","The wood is useful for tea-chests. Bark fibres can"
